actor,appearances
"Rafael Bertrand",1
"Jorge Martínez de Hoyos",1
"Marie Gomez",1
"José Chávez",1
"Carlos Romero",1
"Vaughn Taylor",1
"Elizabeth Campbell",1
"Don Carlos",1
"Leigh Chapman",1
"Roberto Contreras",1
"Dirk Evans",1
"Darwin Lamb",1
"Eddie Little Sky",1
"John Lopez",1
"John McKee",1
"Philip L. Parslow",1
"Ron Veto",1
"Richard Pryor",2
"Jennifer Lee Pryor",1
"Bing Crosby",1
"Danny Kaye",1
"Rosemary Clooney",1
Vera-Ellen,1
"Dean Jagger",1
"Mary Wickes",2
"John Brascia",1
"Anne Whitfield",1
"Bea Allen",1
"Frank Baker",1
"Glen Cargyle",1
"George Chakiris",2
"Barrie Chase",1
"Lorinne Crawford",1
"Franklyn Farnum",1
"Bess Flowers",1
"Gavin Gordon",1
"Johnny Grant",1
"Percy Helton",1
"I. Stanford Jolley",1
"Sig Ruman",1
"Grady Sutton",1
"Herb Vigran",1
"Robert Crosson",1
"Farid Shawqi",3
"Hind Rostom",1
"Youssef Chahine",2
"Hassan el Baroudi",1
"Abdel Aziz Khalil",1
"Said Khalil",1
"Abdel Ghani Nagdi",1
"Loutfi El Hakim",1
"Abdel Hamid Bodaoha",1
"F. El Demerdache",1
"Said El Araby",1
"Ahmed Abaza",1
"Hana Abdel Fattah",1
"Safia Sarwat",1
"Asaad Kellada",1
"Naima Wasfy",1
Sherine,2
Soheir,1
"Esmat Mahmoud",1
"Nawal Morsi",1
"Gharib Moawad",1
"Mohamed Mazhar",1
"Galal Issa",1
"Mahrous El Garhi",1
"Ahmed El Tantawi",1
"S. Abdel Aziz",1
"Nadia Lotfi",2
"Safia Tharwat",1
"Gert Westphal",1
"Jane Fonda",12
"Pamela Donegan",1
"Len Chandler",1
"Michael Alaimo",1
"Holly Near",1
"Paul Mooney",1
"Rita Martinson",1
"Steve Jaffe",1
"Mahmoud el-Meliguy",4
"Ezzat El Alaili",3
"Youssef Wahby",1
"Yehia Chahine",2
"Leila Fawzi",2
"Akela Kateb",1
"Zeinab Sedky",1
"Ahmad Abdel Waress",2
"Abdel Azziz Makhyoun",1
"Ahmed Mehrez",1
"Abdel Warith Assir",3
"Aida Kamel",1
"Oussaida Abbass",1
"Zouzou Hamdy El-Hakim",1
"Abdel Salam Mohamed",1
"Halima El Soghayar",1
"Samira Mohamed",1
"Abou Hachich",1
"Gamil El Traboulsi",1
"Ahmad Zaki",1
"Ahmad Bedir",3
"Naglaa Fathy",1
"Abdullah Mahmoud",1
"Mohsena Tawfik",1
"Seif Abdelrahman",2
"Hamdy Ahmed",1
"Tewfik El Dekn",3
"Ali El Sherif",2
"Salah El-Saadany",1
"Nagwa Ibrahim",1
"Fatma Omara‏",1
"Ashraf Al-Selehdar",1
"Hussein Ismail",1
"Mahmoud Al Iraq",1
"Faiza Abdelgawwad",1
"Amitabh Bachchan",20
"Shatrughan Sinha",1
"Zeenat Aman",4
"Prem Chopra",4
"Amrish Puri",6
Helen,2
Pran,3
"Gajanan Jagirdar",1
Sajjan,1
Iftekhar,1
"K.N. Singh",1
"Trilok Kapoor",1
"Abhimanyu Sharma",1
"Goga Kapoor",2
"Mac Mohan",3
Paintal,1
"Jagdish Raj",1
"Ruby Myers",1
"Yunus Parvez",3
"Ahmad Mazhar",1
"Salah Zulfikar",2
"Hamdy Ghaith",2
"Laila Taher",1
"Omar El-Hariri",1
"Husain Reyadh",2
"Zaki Toleimat",1
"Mohamed Hamdy",1
"Mohamed Sultan",1
"Mohamed Abdel Gawad",1
"Sami Loutfi",1
"Ibrahim Emara",1
"Ahmed Louxor",1
"Salah Nazmi",1
Dharmendra,4
"Hema Malini",3
"Zakir Mukhamedzhanov",1
"Sofiko Chiaureli",1
"Yelena Sanayeva",1
"Frunzik Mkrtchyan",1
"Maya-Gozel Aimedova",1
"Faten Hamamah",2
"Omar Sharif",5
"Zaki Rostom",1
"Abdel Ghani Kamar",1
"Zaki Ibrahim",1
"Ahmed Ramzy",1
"Ferdoos Mohammed",1
"Shammi Kapoor",3
Padmini,1
"Maria Menado",1
Shashikala,2
Agha,2
"Mireille Maalouf",1
"Joseph Bou Nassar",1
"Philippe Akiki",1
"Ahmed Al Zain",1
"Hoda Soltan",2
"Shukri Sarhan",1
"Soheir El-Morshidy",1
"Hesham Selim",2
"Majida El Roumi",1
"Rajaa Hussain",2
"Sid Ali Kouiret",1
"Ali Mahrez",1
"Mahendra Sandhu",1
"Danny Denzongpa",7
Jagdeep,4
Faryal,1
"Padma Khanna",1
"Asit Sen",1
"Karan Dewan",1
Murad,1
Sabina,1
"Mala Sinha",1
"Raaj Kumar",2
"Leela Chitnis",1
Kumkum,1
Dhumal,1
"Tun Tun",2
Asrani,5
Suresh,1
"Nadia Tueni",1
"Uttam Kumar",1
"Sulakshana Pandit",1
"Utpal Dutt",1
"Jerry Seinfeld",7
"Jason Alexander",3
"Michael Richards",1
"Julia Louis-Dreyfus",2
"Ray Liotta",6
"Joe Pesci",4
"Lorraine Bracco",1
"Paul Sorvino",1
"Frank Sivero",1
"Tony Darrow",1
"Mike Starr",3
"Frank Vincent",1
"Chuck Low",2
"Frank DiLeo",1
"Henny Youngman",1
"Gina Mastrogiacomo",1
"Suzanne Shepherd",2
"Debi Mazar",2
"Margo Winkler",2
"Welker White",3
"Jerry Vale",1
"Julie Garfield",1
"Christopher Serrone",1
"Elaine Kagan",1
"Beau Starr",1
"Kevin Corrigan",6
"Michael Imperioli",4
"Robbie Vinton",1
"Johnny Williams",1
"Daniel P. Conte",1
"Tony Conforti",1
"Frank Pellegrino",1
"Ronald Maccone",1
"Tony Sirico",1
"Joseph D'Onofrio",1
"Steve Forleo",1
"Richard Dioguardi",1
"Frank Adonis",1
"John Manca",1
"Joseph Bono",2
"Katherine Wallach",1
"Mark Evan Jacobs",1
"Angela Pietropinto",1
"Marianne Leone Cooper",2
"Marie Michaels",1
LoNardo,1
"Melissa Prophet",1
"Illeana Douglas",1
"Susan Varon",1
"Elizabeth Whitcraft",1
"Clem Caserta",2
"Samuel L. Jackson",12
"Fran McGee",1
"Paul Herman",3
"Edward McDonald",1
"Edward Hayes",1
"Gina Mattia",1
"Joel Calendrillo",1
"Anthony Valentin",1
"Edward D. Murphy",1
"Michael Citriniti",1
"Peter Hock",1
"Erasmus C. Alfano",1
"John Di Benedetto",3
"Manny Alfaro",1
"Thomas Lowry",1
"Margaret Smith",1
"Richard Mullally",1
"Frank Albanese",1
"Paul McIsaac",1
"Bob Golub",1
"Louis Eppolito",1
"Tony Lip",2
"Mikey Black",1
"Peter Cicale",1
"Anthony Powers",2
"Vincent Pastore",2
"Anthony Alessandro",1
"Victor Colicchio",1
"Mike Contessa",1
"Philip Suriano",2
"Paul Mougey",1
"Norman Barbera",1
"Anthony Polemeni",1
"James Quattrochi",1
"Lawrence Sacco",1
"Dino Laudicina",1
"Irving Welzer",1
"Jesse Kirtzman",1
"Russell Halley",1
"Spencer Bradley",1
"Bob Altman",1
"Joanna Bennett",1
"Gayle Lewis",1
"Gaetano Lisi",1
"Luke Walter",1
"Ed Deacy",1
"Larry Silvestri",1
"John 'Cha Cha' Ciarcia",1
"Vito Picone",2
"Janis Corsair",1
"Lisa D’Apolito",1
"Frank Aquilino",3
"Vito Antuofermo",1
"Vincent Gallo",1
"Gaetano LoGiudice",2
"Garry Pastore",4
"Nicole Burdette",2
"Stella Keitel",1
"Dominique DeVito",1
"Michaelangelo Graziano",1
"Paula Kcira",1
"Nadine Kay",1
"Tony Ellis",1
"Peter Onorati",1
"Jamie deRoy",1
"Joel Blake",1
"H. Clay Dear",1
"Thomas Hewson",1
"Gene Canfield",1
"Margaux Guerard",1
"Violet Gaynor",1
"Tobin Bell",6
"Berlinda Tolbert",1
"Nancy Cassaro",1
"Adam Wandt",1
"Joe Gioco",1
"Isiah Whitlock Jr.",8
"Alyson Jones",1
"Ruby Gaynor",1
"Bo Dietl",2
"Frank Cassini",1
"Anthony Caso",1
"Lisa Bostnar",1
"Billy L. Sullivan",1
"Daniela Barbosa",1
"Matthew Modine",6
"Adam Baldwin",2
"Vincent D'Onofrio",5
"R. Lee Ermey",4
"Dorian Harewood",1
"Arliss Howard",4
"Kevyn Major Howard",1
"Ed O'Ross",2
"John Terry",1
"Bruce Boa",1
"Kieron Jecchinis",1
"Jon Stafford",1
"Tim Colceri",2
"Peter Edmund",1
"Kirk Taylor",1
"Ian Tyler",1
"Gary Landon Mills",1
"Sal Lopez",3
"Papillon Soo",1
"Ngoc Le",1
"Tan Hung Francione",1
"Marcus D'Amico",1
"Costas Dino Chimona",1
"Keith Hodiak",1
"Peter Merrill",1
"Herbert Norville",1
"Gil Kopel",1
"Philip Bailey",1
"Robert E. Hartenberger",1
"Steve Hudson",1
"John Curtis",1
"Chris Maybach",1
"Gary Smith",1
"Michael Anthony Williams",1
"John Wilson",1
"Tony Carey",1
"Vivian Kubrick",1
"Stanley Kubrick",1
"David Palffy",1
"John Ward",1
"David George",1
"James Woods",4
"Elizabeth McGovern",1
"Tuesday Weld",2
"Burt Young",1
"Treat Williams",5
"Danny Aiello",3
"Richard Bright",1
"James Hayden",1
"William Forsythe",2
"Darlanne Fluegel",1
"Larry Rapp",1
"Olga Karlatos",1
"Frank Gio",1
"Jennifer Connelly",2
"Scott Schutzman Tiler",1
"Rusty Jacobs",1
"Brian Bloom",1
"Mike Monetti",1
"Adrian Curran",1
"Julie Cohen",1
"Noah Moazezi",1
"James Russo",4
"Frank Sisto",1
"Jerry Strivelli",1
"Mike Gendel",1
"Sandra Solberg",1
"Margherita Pace",1
"Bruno Iannone",1
"Bruno Bilotta",2
"Ray Dittrich",1
"Richard Foronjy",1
"Mario Brega",1
"Angelo Florio",1
"Marcia Jean Kurtz",1
"Gerard Murphy",1
"Dutch Miller",1
"Robert Harper",1
"Amy Ryder",1
"Karen Shallo",1
"Frankie Caserta",1
"Joey Marzella",1
